Date,BIST_TRY,USDTRY,CPI,BIST_USD,BIST_USD_Real
2023-01-12,4970.673828125,18.773399353027344,300.456,264.7721776250098,191.65791785588615
2023-01-13,4984.87353515625,18.77869987487793,300.456,265.45360266527257,192.15117400373032
2023-01-16,5207.67236328125,18.783069610595703,300.456,277.2535305061934,200.69266662250374
2023-01-17,5314.9716796875,18.779090881347656,300.456,283.026037483348,204.8711519829139
2023-01-18,5384.171875,18.75263023376465,300.456,287.1155570116049,207.83139049757673
2023-01-19,5422.37109375,18.763029098510742,300.456,288.99230850632665,209.1898953338391
2023-01-20,5490.2705078125,18.792699813842773,300.456,292.14910907949195,211.4749761545136
2023-01-23,5404.37109375,18.793350219726562,300.456,287.56826380414424,208.1590867156446
2023-01-24,5366.4716796875,18.719240188598633,300.456,286.68213162605116,207.51765131362532
2023-01-25,5297.771484375,18.795230865478516,300.456,281.8678590485152,204.03279325007145
2023-01-26,5230.97216796875,18.804000854492188,300.456,278.18399969488917,201.366195801189
2023-01-27,5191.7724609375,18.81049919128418,300.456,276.0039703434931,199.78816033650725
2023-01-30,5096.27294921875,18.798599243164062,300.456,271.0985474660812,196.23732224120357
2023-01-31,4976.57373046875,18.808000564575195,300.456,264.5987654765446,191.5323917843635
2023-02-01,4713.375,18.804000854492188,301.476,250.65809326816728,180.82742038738462
2023-02-02,4752.1748046875,18.807449340820312,301.476,252.6751351855683,182.28253592736695
2023-02-03,4997.57373046875,18.80525016784668,301.476,265.7541742791398,191.71789414620585
2023-02-06,4930.173828125,18.825319290161133,301.476,261.8905821534568,188.93065760256542
2023-02-07,4505.27587890625,18.829099655151367,301.476,239.27197590000924,172.6133539470512
2023-02-08,4505.27587890625,18.831600189208984,301.476,239.24020442447025,172.59043366592758
2023-02-09,4505.27587890625,18.832359313964844,301.476,239.23056074898872,172.58347661563792
2023-02-10,4505.27587890625,18.829700469970703,301.476,239.26434125126897,172.60784623006802
2023-02-13,4505.27587890625,18.82975959777832,301.476,239.2635899312181,172.60730421977456
2023-02-14,4505.27587890625,18.837459564208984,301.476,239.16578897221558,172.53674956543546
2023-02-15,4950.4736328125,18.84394073486328,301.476,262.7090427881468,189.52110382885692
2023-02-16,5008.57373046875,18.85038948059082,301.476,265.7013392548624,191.67977839649427
2023-02-17,5026.77294921875,18.854820251464844,301.476,266.6041299878325,192.33106125460637
2023-02-20,5148.87255859375,18.85346031188965,301.476,273.09960471005377,197.0169659580868
2023-02-21,5149.37255859375,18.863500595092773,301.476,272.98075098178373,196.93122361158493
2023-02-22,5071.373046875,18.862699508666992,301.476,268.85722505120845,193.95646805031652
2023-02-23,5086.17333984375,18.875200271606445,301.476,269.4632780927241,194.39368117472165
2023-02-24,5058.77294921875,18.86302947998047,301.476,268.18454345245436,193.47118837448883
2023-02-27,5197.37255859375,18.882020950317383,301.476,275.2550996669871,198.57196299663553
2023-02-28,5237.27197265625,18.884199142456055,301.476,277.33619695217305,200.0732887617396
2023-03-01,5322.671875,18.882400512695312,301.643,281.88533928307356,203.24250411909813
2023-03-02,5261.3720703125,18.883399963378906,301.643,278.624192704493,200.89118071002736
2023-03-03,5212.3720703125,18.885700225830078,301.643,275.9957008733788,198.9960084986206
2023-03-06,5392.27099609375,18.88681983947754,301.643,285.5044439415225,205.85191933495506
2023-03-07,5381.87158203125,18.869890213012695,301.643,285.20948035616584,205.6392472681342
2023-03-08,5438.37109375,18.918100357055664,301.643,287.4691956965813,207.26852747671282
2023-03-09,5446.17138671875,18.940799713134766,301.643,287.5365068636477,207.31705958620296
2023-03-10,5384.57177734375,18.951900482177734,301.643,284.1177739618975,204.85211466344379
